yr,service_group,dual,age_band,sex,allowed,services
2021,Advance care planning,false,65-74,Female,476.3,1
2021,Advance care planning,false,65-74,Male,1506.95,3
2021,Advance care planning,false,75-84,Male,1129.95,2
2021,Advance care planning,false,85+,Male,527.59,1
2021,Advance care planning,false,<65,Female,514.1,1
2021,Advance care planning,true,<65,Male,442.59,1
2021,Care management,false,65-74,Female,282968.64,497
2021,Care management,false,65-74,Male,292564.5100000001,518
2021,Care management,false,75-84,Female,135158.93,236
2021,Care management,false,75-84,Male,231378.25999999995,399
2021,Care management,false,85+,Female,134949.76,232
2021,Care management,false,85+,Male,134426.77999999997,236
2021,Care management,false,<65,Female,388623.7999999997,680
2021,Care management,false,<65,Male,417353.39000000013,719
2021,Care management,true,65-74,Female,105048.49000000002,187
2021,Care management,true,65-74,Male,112720.00999999998,199
2021,Care management,true,75-84,Female,74788.57,129
2021,Care management,true,75-84,Male,68771.33000000002,123
2021,Care management,true,85+,Female,33982.490000000005,57
2021,Care management,true,85+,Male,25661.010000000002,46
2021,Care management,true,<65,Female,103624.43000000002,181
2021,Care management,true,<65,Male,118366.43000000001,213
2021,Screening / counseling,false,65-74,Female,0.0,3190
2021,Screening / counseling,false,65-74,Male,5088.84,3429
2021,Screening / counseling,false,75-84,Female,0.0,1677
2021,Screening / counseling,false,75-84,Male,1126.71,2280
2021,Screening / counseling,false,85+,Female,0.0,1170
2021,Screening / counseling,false,85+,Male,0.0,1155
2021,Screening / counseling,false,<65,Female,9670.2,3658
2021,Screening / counseling,false,<65,Male,19495.98,3903
2021,Screening / counseling,true,65-74,Female,0.0,1067
2021,Screening / counseling,true,65-74,Male,3537.58,1106
2021,Screening / counseling,true,75-84,Female,0.0,649
2021,Screening / counseling,true,75-84,Male,3061.56,683
2021,Screening / counseling,true,85+,Female,0.0,384
2021,Screening / counseling,true,85+,Male,0.0,269
2021,Screening / counseling,true,<65,Female,5314.85,1014
2021,Screening / counseling,true,<65,Male,5289.5599999999995,1088
2022,Advance care planning,false,65-74,Female,1114.6,2
2022,Advance care planning,false,65-74,Male,840.74,2
2022,Advance care planning,false,75-84,Female,615.85,1
2022,Advance care planning,false,75-84,Male,1425.5,3
2022,Advance care planning,false,<65,Female,514.1,1
2022,Care management,false,65-74,Female,319795.29999999993,561
2022,Care management,false,65-74,Male,351542.57999999996,600
2022,Care management,false,75-84,Female,178787.35,315
2022,Care management,false,75-84,Male,270069.6099999999,465
2022,Care management,false,85+,Female,133664.43999999997,231
2022,Care management,false,85+,Male,157023.62999999992,275
2022,Care management,false,<65,Female,411951.9299999997,735
2022,Care management,false,<65,Male,436001.9699999998,749
2022,Care management,true,65-74,Female,108341.25000000001,199
2022,Care management,true,65-74,Male,132510.75000000003,228
2022,Care management,true,75-84,Female,72304.04,120
2022,Care management,true,75-84,Male,73867.62,130
2022,Care management,true,85+,Female,33851.829999999994,58
2022,Care management,true,85+,Male,38315.78999999999,62
2022,Care management,true,<65,Female,111856.36000000002,199
2022,Care management,true,<65,Male,125221.94999999998,224
2022,Screening / counseling,false,65-74,Female,0.0,3577
2022,Screening / counseling,false,65-74,Male,10056.81,3716
2022,Screening / counseling,false,75-84,Female,0.0,1888
2022,Screening / counseling,false,75-84,Male,3663.33,2694
2022,Screening / counseling,false,85+,Female,0.0,1207
2022,Screening / counseling,false,85+,Male,0.0,1289
2022,Screening / counseling,false,<65,Female,12063.24,3768
2022,Screening / counseling,false,<65,Male,21525.890000000003,3982
2022,Screening / counseling,true,65-74,Female,0.0,1122
2022,Screening / counseling,true,65-74,Male,7228.030000000001,1255
2022,Screening / counseling,true,75-84,Female,0.0,750
2022,Screening / counseling,true,75-84,Male,980.99,718
2022,Screening / counseling,true,85+,Female,0.0,359
2022,Screening / counseling,true,85+,Male,0.0,311
2022,Screening / counseling,true,<65,Female,4978.99,1052
2022,Screening / counseling,true,<65,Male,6008.33,1144
