row_type,yr,service_category,subcategory,type_of_service,service_group,dual_status,age_band,sex,allowed,pc_allowed,ab_mm,pd_mm
member_months,2022,,,,,Dual,75-84,Male,,,2304,1633
member_months,2022,,,,,Non-dual,65-74,Male,,,11687,7481
member_months,2022,,,,,Non-dual,<65,Male,,,17004,11886
member_months,2022,,,,,Dual,65-74,Male,,,3637,2639
member_months,2022,,,,,Non-dual,85+,Female,,,2760,1867
member_months,2022,,,,,Non-dual,<65,Female,,,16068,10978
member_months,2022,,,,,Non-dual,75-84,Male,,,5784,4099
member_months,2022,,,,,Non-dual,75-84,Female,,,5580,3908
primary_care,2016,,,,Care management,Non-dual,65-74,Male,,201512.77,,
primary_care,2016,,,,Care management,Non-dual,85+,Male,,110615.96,,
primary_care,2016,,,,Care management,Dual,65-74,Male,,73282.38,,
primary_care,2016,,,,Care management,Dual,<65,Female,,111297.45,,
primary_care,2016,,,,Care management,Dual,75-84,Male,,47257.2,,
primary_care,2016,,,,Screening / counseling,Non-dual,85+,Female,,0.0,,
primary_care,2016,,,,Care management,Non-dual,65-74,Female,,192402.73,,
primary_care,2016,,,,Screening / counseling,Non-dual,<65,Male,,15374.76,,
primary_care,2016,,,,Screening / counseling,Dual,75-84,Female,,0.0,,
primary_care,2016,,,,Care management,Dual,85+,Male,,26231.84,,
primary_care,2016,,,,Care management,Dual,65-74,Female,,68218.3,,
primary_care,2016,,,,Screening / counseling,Non-dual,65-74,Female,,0.0,,
primary_care,2016,,,,Screening / counseling,Dual,<65,Female,,1672.25,,
primary_care,2016,,,,Care management,Non-dual,75-84,Male,,118617.78,,
primary_care,2016,,,,Screening / counseling,Dual,75-84,Male,,0.0,,
primary_care,2016,,,,Care management,Non-dual,85+,Female,,96952.48,,
primary_care,2016,,,,Screening / counseling,Non-dual,<65,Female,,8801.22,,
primary_care,2016,,,,Screening / counseling,Non-dual,65-74,Male,,6365.48,,
primary_care,2016,,,,Advance care planning,Dual,75-84,Female,,808.7,,
primary_care,2016,,,,Screening / counseling,Dual,<65,Male,,3561.49,,
primary_care,2016,,,,Screening / counseling,Dual,65-74,Female,,0.0,,
primary_care,2016,,,,Care management,Non-dual,<65,Female,,314982.42,,
primary_care,2016,,,,Screening / counseling,Dual,85+,Male,,0.0,,
primary_care,2016,,,,Care management,Dual,75-84,Female,,45447.79,,
primary_care,2016,,,,Screening / counseling,Dual,85+,Female,,0.0,,
primary_care,2016,,,,Screening / counseling,Non-dual,75-84,Female,,0.0,,
primary_care,2016,,,,Care management,Dual,85+,Female,,31503.15,,
primary_care,2016,,,,Screening / counseling,Dual,65-74,Male,,5018.19,,
primary_care,2016,,,,Advance care planning,Non-dual,65-74,Male,,600.5,,
primary_care,2016,,,,Care management,Non-dual,75-84,Female,,64377.36,,
primary_care,2016,,,,Screening / counseling,Non-dual,75-84,Male,,4615.73,,
primary_care,2016,,,,Care management,Dual,<65,Male,,122726.33,,
primary_care,2016,,,,Care management,Non-dual,<65,Male,,367304.33,,
primary_care,2016,,,,Screening / counseling,Non-dual,85+,Male,,0.0,,
primary_care,2017,,,,Care management,Non-dual,75-84,Female,,78641.53,,
primary_care,2017,,,,Screening / counseling,Non-dual,65-74,Female,,0.0,,
primary_care,2017,,,,Screening / counseling,Dual,<65,Male,,2955.97,,
primary_care,2017,,,,Care management,Dual,65-74,Male,,69455.58,,
primary_care,2017,,,,Screening / counseling,Non-dual,75-84,Male,,0.0,,
primary_care,2017,,,,Care management,Dual,75-84,Male,,51538.23,,
primary_care,2017,,,,Care management,Non-dual,65-74,Female,,223304.56,,
primary_care,2017,,,,Advance care planning,Non-dual,85+,Female,,507.0,,
primary_care,2017,,,,Care management,Dual,65-74,Female,,85576.82,,
primary_care,2017,,,,Care management,Dual,<65,Male,,128852.36,,
primary_care,2017,,,,Screening / counseling,Non-dual,85+,Male,,0.0,,
primary_care,2017,,,,Screening / counseling,Non-dual,<65,Male,,15495.55,,
primary_care,2017,,,,Screening / counseling,Dual,75-84,Female,,0.0,,
primary_care,2017,,,,Care management,Non-dual,85+,Female,,98679.97,,
primary_care,2017,,,,Screening / counseling,Non-dual,85+,Female,,0.0,,
primary_care,2017,,,,Screening / counseling,Dual,75-84,Male,,2683.86,,
primary_care,2017,,,,Screening / counseling,Dual,<65,Female,,4143.1,,
primary_care,2017,,,,Screening / counseling,Non-dual,75-84,Female,,0.0,,
primary_care,2017,,,,Care management,Non-dual,75-84,Male,,130505.62,,
primary_care,2017,,,,Care management,Non-dual,85+,Male,,111134.47,,
primary_care,2017,,,,Care management,Dual,75-84,Female,,33865.81,,
primary_care,2017,,,,Screening / counseling,Dual,85+,Male,,0.0,,
primary_care,2017,,,,Care management,Dual,<65,Female,,102515.29,,
primary_care,2017,,,,Care management,Non-dual,65-74,Male,,232143.06,,
primary_care,2017,,,,Screening / counseling,Non-dual,65-74,Male,,6008.2,,
primary_care,2017,,,,Screening / counseling,Dual,65-74,Male,,1056.98,,
primary_care,2017,,,,Screening / counseling,Non-dual,<65,Female,,8163.13,,
primary_care,2017,,,,Screening / counseling,Dual,65-74,Female,,0.0,,
primary_care,2017,,,,Care management,Non-dual,<65,Female,,341054.91,,
primary_care,2017,,,,Screening / counseling,Dual,85+,Female,,0.0,,
primary_care,2017,,,,Care management,Dual,85+,Female,,36172.77,,
primary_care,2017,,,,Care management,Non-dual,<65,Male,,348145.16,,
primary_care,2017,,,,Care management,Dual,85+,Male,,26389.94,,
primary_care,2018,,,,Care management,Non-dual,75-84,Female,,93834.17,,
primary_care,2018,,,,Screening / counseling,Non-dual,<65,Male,,14448.59,,
primary_care,2018,,,,Screening / counseling,Non-dual,75-84,Male,,3776.89,,
primary_care,2018,,,,Care management,Non-dual,65-74,Male,,242736.02,,
primary_care,2018,,,,Screening / counseling,Non-dual,<65,Female,,8547.15,,
primary_care,2018,,,,Screening / counseling,Non-dual,75-84,Female,,0.0,,
primary_care,2018,,,,Care management,Dual,85+,Female,,32325.43,,
primary_care,2018,,,,Screening / counseling,Non-dual,65-74,Female,,0.0,,
primary_care,2018,,,,Care management,Dual,85+,Male,,18429.33,,
primary_care,2018,,,,Advance care planning,Non-dual,75-84,Male,,615.85,,
primary_care,2018,,,,Care management,Dual,75-84,Male,,51871.36,,
primary_care,2018,,,,Care management,Dual,<65,Female,,97443.65,,
primary_care,2018,,,,Screening / counseling,Dual,65-74,Female,,0.0,,
primary_care,2018,,,,Screening / counseling,Dual,85+,Male,,0.0,,
primary_care,2018,,,,Screening / counseling,Non-dual,85+,Female,,0.0,,
primary_care,2018,,,,Care management,Dual,65-74,Female,,76190.28,,
primary_care,2018,,,,Screening / counseling,Dual,85+,Female,,0.0,,
primary_care,2018,,,,Advance care planning,Non-dual,65-74,Male,,1093.34,,
primary_care,2018,,,,Care management,Dual,<65,Male,,119147.82,,
primary_care,2018,,,,Care management,Non-dual,85+,Female,,119655.01,,
primary_care,2018,,,,Care management,Non-dual,85+,Male,,145025.12,,
primary_care,2018,,,,Care management,Dual,65-74,Male,,88650.28,,
primary_care,2018,,,,Care management,Non-dual,<65,Female,,351881.03,,
primary_care,2018,,,,Screening / counseling,Dual,75-84,Male,,1693.89,,
primary_care,2018,,,,Care management,Non-dual,<65,Male,,375115.44,,
primary_care,2018,,,,Screening / counseling,Dual,65-74,Male,,2363.02,,
primary_care,2018,,,,Screening / counseling,Non-dual,65-74,Male,,7396.79,,
primary_care,2018,,,,Screening / counseling,Non-dual,85+,Male,,359.77,,
primary_care,2018,,,,Care management,Non-dual,75-84,Male,,141982.64,,
primary_care,2018,,,,Screening / counseling,Dual,75-84,Female,,0.0,,
primary_care,2018,,,,Screening / counseling,Dual,<65,Female,,3537.3,,
primary_care,2018,,,,Care management,Dual,75-84,Female,,47720.94,,
primary_care,2018,,,,Screening / counseling,Dual,<65,Male,,2875.39,,
primary_care,2018,,,,Care management,Non-dual,65-74,Female,,231457.4,,
primary_care,2019,,,,Care management,Dual,65-74,Male,,93114.96,,
primary_care,2019,,,,Care management,Dual,<65,Female,,119526.17,,
primary_care,2019,,,,Screening / counseling,Dual,65-74,Male,,1335.7,,
primary_care,2019,,,,Screening / counseling,Dual,85+,Male,,0.0,,
primary_care,2019,,,,Screening / counseling,Dual,65-74,Female,,0.0,,
primary_care,2019,,,,Advance care planning,Non-dual,75-84,Male,,485.85,,
primary_care,2019,,,,Screening / counseling,Dual,<65,Male,,7466.02,,
primary_care,2019,,,,Care management,Dual,75-84,Female,,51133.27,,
primary_care,2019,,,,Screening / counseling,Dual,85+,Female,,0.0,,
primary_care,2019,,,,Advance care planning,Dual,65-74,Male,,370.2,,
primary_care,2019,,,,Care management,Dual,75-84,Male,,57566.69,,
primary_care,2019,,,,Screening / counseling,Non-dual,65-74,Female,,0.0,,
primary_care,2019,,,,Care management,Dual,85+,Male,,32261.15,,
primary_care,2019,,,,Care management,Dual,65-74,Female,,92094.29,,
primary_care,2019,,,,Screening / counseling,Non-dual,85+,Female,,0.0,,
primary_care,2019,,,,Screening / counseling,Non-dual,<65,Male,,15808.69,,
primary_care,2019,,,,Screening / counseling,Dual,<65,Female,,3239.45,,
primary_care,2019,,,,Care management,Dual,85+,Female,,29684.1,,
primary_care,2019,,,,Care management,Non-dual,75-84,Female,,122845.56,,
primary_care,2019,,,,Advance care planning,Non-dual,75-84,Female,,1200.6,,
primary_care,2019,,,,Advance care planning,Non-dual,65-74,Male,,615.85,,
primary_care,2019,,,,Screening / counseling,Dual,75-84,Male,,2112.6,,
primary_care,2019,,,,Advance care planning,Non-dual,85+,Male,,600.5,,
primary_care,2019,,,,Screening / counseling,Non-dual,<65,Female,,7985.34,,
primary_care,2019,,,,Screening / counseling,Non-dual,65-74,Male,,9643.48,,
primary_care,2019,,,,Screening / counseling,Non-dual,75-84,Female,,0.0,,
primary_care,2019,,,,Care management,Non-dual,75-84,Male,,177333.66,,
primary_care,2019,,,,Care management,Non-dual,85+,Female,,110951.14,,
primary_care,2019,,,,Screening / counseling,Non-dual,75-84,Male,,1555.88,,
primary_care,2019,,,,Care management,Non-dual,65-74,Male,,269483.93,,
primary_care,2019,,,,Care management,Non-dual,85+,Male,,111210.2,,
primary_care,2019,,,,Care management,Dual,<65,Male,,130132.31,,
primary_care,2019,,,,Care management,Non-dual,<65,Male,,394807.15,,
primary_care,2019,,,,Screening / counseling,Non-dual,85+,Male,,0.0,,
primary_care,2019,,,,Advance care planning,Non-dual,<65,Female,,600.5,,
primary_care,2019,,,,Care management,Non-dual,65-74,Female,,253934.17,,
primary_care,2019,,,,Care management,Non-dual,<65,Female,,363557.16,,
primary_care,2019,,,,Screening / counseling,Dual,75-84,Female,,0.0,,
primary_care,2020,,,,Care management,Non-dual,85+,Female,,104055.64,,
primary_care,2020,,,,Screening / counseling,Dual,85+,Male,,0.0,,
primary_care,2020,,,,Care management,Non-dual,65-74,Female,,268293.61,,
primary_care,2020,,,,Care management,Non-dual,<65,Male,,397875.38,,
primary_care,2020,,,,Screening / counseling,Dual,65-74,Female,,0.0,,
primary_care,2020,,,,Care management,Non-dual,65-74,Male,,310707.12,,
primary_care,2020,,,,Care management,Dual,75-84,Male,,63076.23,,
primary_care,2020,,,,Screening / counseling,Dual,65-74,Male,,1163.24,,
primary_care,2020,,,,Advance care planning,Non-dual,75-84,Male,,615.85,,
primary_care,2020,,,,Advance care planning,Non-dual,85+,Male,,600.5,,
primary_care,2020,,,,Advance care planning,Non-dual,65-74,Female,,620.44,,
primary_care,2020,,,,Screening / counseling,Non-dual,85+,Male,,4908.38,,
primary_care,2020,,,,Advance care planning,Non-dual,75-84,Female,,600.5,,
primary_care,2020,,,,Care management,Non-dual,<65,Female,,373552.11,,
primary_care,2020,,,,Advance care planning,Dual,85+,Female,,615.85,,
primary_care,2020,,,,Advance care planning,Non-dual,<65,Male,,481.7,,
primary_care,2020,,,,Care management,Dual,75-84,Female,,54145.46,,
primary_care,2020,,,,Advance care planning,Non-dual,<65,Female,,476.3,,
primary_care,2020,,,,Screening / counseling,Dual,75-84,Male,,1320.42,,
primary_care,2020,,,,Care management,Non-dual,75-84,Male,,204197.03,,
primary_care,2020,,,,Screening / counseling,Non-dual,75-84,Male,,1511.79,,
primary_care,2020,,,,Care management,Dual,<65,Female,,114804.78,,
primary_care,2020,,,,Care management,Non-dual,75-84,Female,,129485.54,,
primary_care,2020,,,,Care management,Dual,65-74,Male,,107266.74,,
primary_care,2020,,,,Screening / counseling,Non-dual,75-84,Female,,0.0,,
primary_care,2020,,,,Screening / counseling,Dual,75-84,Female,,0.0,,
primary_care,2020,,,,Screening / counseling,Non-dual,85+,Female,,0.0,,
primary_care,2020,,,,Screening / counseling,Dual,<65,Female,,5165.4,,
primary_care,2020,,,,Screening / counseling,Non-dual,65-74,Female,,0.0,,
primary_care,2020,,,,Care management,Dual,<65,Male,,118589.21,,
primary_care,2020,,,,Care management,Dual,65-74,Female,,88264.46,,
primary_care,2020,,,,Screening / counseling,Non-dual,65-74,Male,,6455.93,,
primary_care,2020,,,,Care management,Non-dual,85+,Male,,118411.56,,
primary_care,2020,,,,Care management,Dual,85+,Female,,27734.8,,
primary_care,2020,,,,Screening / counseling,Dual,85+,Female,,0.0,,
primary_care,2020,,,,Screening / counseling,Dual,<65,Male,,4087.72,,
primary_care,2020,,,,Screening / counseling,Non-dual,<65,Male,,19584.3,,
primary_care,2020,,,,Care management,Dual,85+,Male,,30396.05,,
primary_care,2020,,,,Screening / counseling,Non-dual,<65,Female,,10366.29,,
primary_care,2021,,,,Screening / counseling,Non-dual,65-74,Male,,5088.84,,
primary_care,2021,,,,Screening / counseling,Dual,65-74,Female,,0.0,,
primary_care,2021,,,,Screening / counseling,Non-dual,85+,Male,,0.0,,
primary_care,2021,,,,Advance care planning,Non-dual,75-84,Male,,1129.95,,
primary_care,2021,,,,Advance care planning,Non-dual,65-74,Male,,1506.95,,
primary_care,2021,,,,Advance care planning,Non-dual,85+,Male,,527.59,,
primary_care,2021,,,,Advance care planning,Non-dual,65-74,Female,,476.3,,
primary_care,2021,,,,Screening / counseling,Non-dual,75-84,Female,,0.0,,
primary_care,2021,,,,Care management,Dual,<65,Female,,103624.43,,
primary_care,2021,,,,Care management,Non-dual,75-84,Male,,231378.26,,
primary_care,2021,,,,Care management,Dual,<65,Male,,118366.43,,
primary_care,2021,,,,Screening / counseling,Dual,75-84,Female,,0.0,,
primary_care,2021,,,,Care management,Non-dual,<65,Female,,388623.8,,
primary_care,2021,,,,Screening / counseling,Non-dual,85+,Female,,0.0,,
primary_care,2021,,,,Care management,Dual,75-84,Male,,68771.33,,
primary_care,2021,,,,Care management,Non-dual,75-84,Female,,135158.93,,
primary_care,2021,,,,Screening / counseling,Non-dual,75-84,Male,,1126.71,,
primary_care,2021,,,,Screening / counseling,Dual,75-84,Male,,3061.56,,
primary_care,2021,,,,Care management,Dual,65-74,Female,,105048.49,,
primary_care,2021,,,,Advance care planning,Non-dual,<65,Female,,514.1,,
primary_care,2021,,,,Care management,Dual,75-84,Female,,74788.57,,
primary_care,2021,,,,Care management,Non-dual,85+,Male,,134426.78,,
primary_care,2021,,,,Care management,Dual,85+,Female,,33982.49,,
primary_care,2021,,,,Care management,Dual,85+,Male,,25661.01,,
primary_care,2021,,,,Screening / counseling,Dual,85+,Male,,0.0,,
primary_care,2021,,,,Screening / counseling,Dual,<65,Male,,5289.56,,
primary_care,2021,,,,Screening / counseling,Dual,<65,Female,,5314.85,,
primary_care,2021,,,,Care management,Dual,65-74,Male,,112720.01,,
primary_care,2021,,,,Screening / counseling,Dual,85+,Female,,0.0,,
primary_care,2021,,,,Advance care planning,Dual,<65,Male,,442.59,,
primary_care,2021,,,,Care management,Non-dual,85+,Female,,134949.76,,
primary_care,2021,,,,Care management,Non-dual,65-74,Male,,292564.51,,
primary_care,2021,,,,Screening / counseling,Non-dual,<65,Male,,19495.98,,
primary_care,2021,,,,Screening / counseling,Non-dual,65-74,Female,,0.0,,
primary_care,2021,,,,Care management,Non-dual,<65,Male,,417353.39,,
primary_care,2021,,,,Screening / counseling,Dual,65-74,Male,,3537.58,,
primary_care,2021,,,,Screening / counseling,Non-dual,<65,Female,,9670.2,,
primary_care,2021,,,,Care management,Non-dual,65-74,Female,,282968.64,,
primary_care,2022,,,,Care management,Dual,75-84,Male,,73867.62,,
primary_care,2022,,,,Advance care planning,Non-dual,65-74,Female,,1114.6,,
primary_care,2022,,,,Screening / counseling,Non-dual,<65,Female,,12063.24,,
primary_care,2022,,,,Screening / counseling,Dual,75-84,Female,,0.0,,
primary_care,2022,,,,Care management,Non-dual,75-84,Male,,270069.61,,
primary_care,2022,,,,Advance care planning,Non-dual,75-84,Male,,1425.5,,
primary_care,2022,,,,Care management,Non-dual,<65,Female,,411951.93,,
primary_care,2022,,,,Screening / counseling,Non-dual,65-74,Female,,0.0,,
primary_care,2022,,,,Care management,Dual,<65,Female,,111856.36,,
primary_care,2022,,,,Screening / counseling,Dual,65-74,Male,,7228.03,,
primary_care,2022,,,,Screening / counseling,Dual,75-84,Male,,980.99,,
primary_care,2022,,,,Care management,Non-dual,<65,Male,,436001.97,,
primary_care,2022,,,,Care management,Dual,<65,Male,,125221.95,,
primary_care,2022,,,,Care management,Non-dual,75-84,Female,,178787.35,,
primary_care,2022,,,,Advance care planning,Non-dual,<65,Female,,514.1,,
primary_care,2022,,,,Screening / counseling,Dual,<65,Female,,4978.99,,
primary_care,2022,,,,Screening / counseling,Dual,<65,Male,,6008.33,,
primary_care,2022,,,,Screening / counseling,Dual,85+,Female,,0.0,,
primary_care,2022,,,,Screening / counseling,Non-dual,85+,Female,,0.0,,
primary_care,2022,,,,Screening / counseling,Dual,85+,Male,,0.0,,
primary_care,2022,,,,Screening / counseling,Non-dual,85+,Male,,0.0,,
primary_care,2022,,,,Care management,Dual,65-74,Female,,108341.25,,
primary_care,2022,,,,Care management,Non-dual,85+,Female,,133664.44,,
primary_care,2022,,,,Care management,Non-dual,85+,Male,,157023.63,,
primary_care,2022,,,,Care management,Non-dual,65-74,Female,,319795.3,,
primary_care,2022,,,,Advance care planning,Non-dual,75-84,Female,,615.85,,
primary_care,2022,,,,Screening / counseling,Non-dual,75-84,Female,,0.0,,
primary_care,2022,,,,Screening / counseling,Non-dual,65-74,Male,,10056.81,,
primary_care,2022,,,,Screening / counseling,Non-dual,<65,Male,,21525.89,,
primary_care,2022,,,,Care management,Dual,85+,Female,,33851.83,,
primary_care,2022,,,,Care management,Dual,65-74,Male,,132510.75,,
primary_care,2022,,,,Care management,Non-dual,65-74,Male,,351542.58,,
primary_care,2022,,,,Care management,Dual,85+,Male,,38315.79,,
primary_care,2022,,,,Screening / counseling,Non-dual,75-84,Male,,3663.33,,
primary_care,2022,,,,Care management,Dual,75-84,Female,,72304.04,,
primary_care,2022,,,,Advance care planning,Non-dual,65-74,Male,,840.74,,
primary_care,2022,,,,Screening / counseling,Dual,65-74,Female,,0.0,,
spend,2016,Professional,Urgent care,Exceptions/unclassified,,Dual,<65,Female,0.0,,,
spend,2016,Professional,Nursing facility / hospice setting,Unclassified,,Non-dual,65-74,Male,18140.76,,,
spend,2016,Professional,Inpatient/outpatient hospital setting,E&M,,Non-dual,65-74,Male,1638.28,,,
spend,2016,Professional,Urgent care,Unclassified,,Dual,75-84,Male,90355.05,,,
spend,2016,Professional,Office (incl. telehealth),Unclassified,,Non-dual,<65,Male,2378408.13,,,
spend,2016,Professional,Office (incl. telehealth),Unclassified,,Dual,75-84,Female,214277.34,,,
spend,2016,Retail Pharmacy,Prescription drugs (Part D),n/a,,Dual,75-84,Male,243911.06,,,
spend,2016,Professional,Urgent care,Unclassified,,Non-dual,85+,Male,215509.49,,,
spend,2016,Long-Term Care,Hospice,n/a,,Non-dual,85+,Female,64677.25,,,
spend,2016,Professional,Home health,n/a,,Non-dual,75-84,Female,30583.67,,,
spend,2016,Professional,Home health,n/a,,Non-dual,85+,Male,24820.92,,,
spend,2016,Professional,Office (incl. telehealth),Unclassified,,Non-dual,75-84,Male,539992.79,,,
spend,2016,Professional,Home health,n/a,,Non-dual,65-74,Female,43880.87,,,
spend,2016,Professional,Home health,n/a,,Non-dual,65-74,Male,66450.23,,,
spend,2016,Professional,Inpatient/outpatient hospital setting,Unclassified,,Non-dual,65-74,Male,399634.49,,,
spend,2016,Professional,Office (incl. telehealth),Exceptions/unclassified,,Dual,65-74,Female,6376.33,,,
spend,2016,Professional,Home health,n/a,,Dual,65-74,Male,65553.84,,,
spend,2016,Professional,Office (incl. telehealth),Exceptions/unclassified,,Non-dual,85+,Female,6320.77,,,
spend,2016,Inpatient Hospital,Acute care hospital,n/a,,Dual,75-84,Female,391825.21,,,
spend,2016,Inpatient Hospital,Acute care hospital,n/a,,Dual,75-84,Male,264234.49,,,
spend,2016,Long-Term Care,Hospice,n/a,,Dual,75-84,Female,97531.0,,,
spend,2016,Long-Term Care,Skilled nursing facility,n/a,,Dual,75-84,Male,99421.14,,,
spend,2016,Professional,Office (incl. telehealth),Exceptions/unclassified,,Non-dual,85+,Male,0.0,,,
spend,2016,Long-Term Care,Skilled nursing facility,n/a,,Dual,75-84,Female,44606.76,,,
spend,2016,Long-Term Care,Hospice,n/a,,Dual,65-74,Male,105517.6,,,
spend,2016,Professional,Office (incl. telehealth),Unclassified,,Non-dual,<65,Female,2382662.74,,,
spend,2016,Long-Term Care,Hospice,n/a,,Dual,65-74,Female,60119.02,,,
