yr,service_category,subcategory,type_of_service,dual,age_band,sex,allowed,paid,n_rows,n_benes
2016,Long-Term Care,Hospice,n/a,false,85+,Male,97762.73999999999,97762.73999999999,6,6
2016,Long-Term Care,Hospice,n/a,true,65-74,Female,60119.020000000004,60119.020000000004,6,6
2016,Long-Term Care,Hospice,n/a,true,65-74,Male,105517.59999999999,105517.59999999999,7,7
2016,Long-Term Care,Hospice,n/a,true,75-84,Female,97531.0,97531.0,9,9
2016,Long-Term Care,Hospice,n/a,true,75-84,Male,168641.01,168641.01,10,10
2016,Long-Term Care,Hospice,n/a,true,85+,Female,41676.95,41676.95,1,1
2016,Long-Term Care,Hospice,n/a,true,85+,Male,11810.87,11810.87,1,1
2016,Long-Term Care,Skilled nursing facility,n/a,false,65-74,Female,567880.18,464165.17000000004,27,27
2016,Long-Term Care,Skilled nursing facility,n/a,false,65-74,Male,533927.0700000001,423870.77,34,33
2016,Long-Term Care,Skilled nursing facility,n/a,false,75-84,Female,193403.86000000002,154723.05000000002,12,12
2016,Long-Term Care,Skilled nursing facility,n/a,false,75-84,Male,157211.52,125769.16000000002,8,8
2016,Long-Term Care,Skilled nursing facility,n/a,false,85+,Female,154426.21,123540.93,9,9
2016,Long-Term Care,Skilled nursing facility,n/a,false,85+,Male,130030.53,104024.41,8,8
2016,Long-Term Care,Skilled nursing facility,n/a,false,<65,Female,156829.09000000003,130487.95999999999,11,11
2016,Long-Term Care,Skilled nursing facility,n/a,false,<65,Male,169925.12,143903.66999999998,10,10
2016,Long-Term Care,Skilled nursing facility,n/a,true,65-74,Female,139554.21,126743.13999999998,10,10
2016,Long-Term Care,Skilled nursing facility,n/a,true,65-74,Male,152039.68,126109.12000000001,6,6
2016,Long-Term Care,Skilled nursing facility,n/a,true,75-84,Female,44606.76,44606.76,3,3
2016,Long-Term Care,Skilled nursing facility,n/a,true,75-84,Male,99421.14,87553.66999999998,6,6
2016,Long-Term Care,Skilled nursing facility,n/a,true,85+,Female,34610.1,34610.1,1,1
2016,Long-Term Care,Skilled nursing facility,n/a,true,85+,Male,108015.04,91596.45999999999,6,6
2016,Long-Term Care,Skilled nursing facility,n/a,true,<65,Female,53961.32,52711.67,5,5
2016,Long-Term Care,Skilled nursing facility,n/a,true,<65,Male,61617.03999999999,53001.3,4,4
2016,Other,Durable medical equipment,n/a,false,65-74,Female,2343.7000000000007,1808.7299999999964,661,310
2016,Other,Durable medical equipment,n/a,false,65-74,Male,2957.079999999998,2305.329999999995,1225,325
2016,Other,Durable medical equipment,n/a,false,75-84,Female,737.7600000000002,578.0500000000002,304,104
2016,Other,Durable medical equipment,n/a,false,75-84,Male,785.1200000000006,615.49,695,100
2016,Other,Durable medical equipment,n/a,false,85+,Female,692.0000000000007,524.5600000000002,228,78
2016,Other,Durable medical equipment,n/a,false,85+,Male,622.2300000000002,495.24000000000007,473,60
2016,Other,Durable medical equipment,n/a,false,<65,Female,5280.0499999999965,4213.989999999995,1342,418
2016,Other,Durable medical equipment,n/a,false,<65,Male,6181.83999999998,5052.5300000000025,2931,538
2016,Other,Durable medical equipment,n/a,true,65-74,Female,1022.1000000000012,853.2500000000003,299,104
2016,Other,Durable medical equipment,n/a,true,65-74,Male,1075.0600000000013,930.8000000000006,380,121
2016,Other,Durable medical equipment,n/a,true,75-84,Female,390.3699999999999,346.24000000000007,195,41
2016,Other,Durable medical equipment,n/a,true,75-84,Male,272.73,237.16,136,38
2016,Other,Durable medical equipment,n/a,true,85+,Female,131.56,103.50999999999999,116,20
2016,Other,Durable medical equipment,n/a,true,85+,Male,77.48,62.42999999999999,29,18
2016,Other,Durable medical equipment,n/a,true,<65,Female,1511.0300000000016,1178.5300000000004,589,155
2016,Other,Durable medical equipment,n/a,true,<65,Male,2282.0699999999997,1892.069999999999,1127,185
2016,Outpatient Hospital,Hospital outpatient,n/a,false,65-74,Female,4372026.829999997,4317351.259999996,2516,425
2016,Outpatient Hospital,Hospital outpatient,n/a,false,65-74,Male,4799033.719999995,4744612.299999997,3039,432
2016,Outpatient Hospital,Hospital outpatient,n/a,false,75-84,Female,1374796.37,1359110.9900000007,829,150
2016,Outpatient Hospital,Hospital outpatient,n/a,false,75-84,Male,1679441.48,1658806.92,1413,153
2016,Outpatient Hospital,Hospital outpatient,n/a,false,85+,Female,1029416.3300000008,1016484.0400000005,934,129
2016,Outpatient Hospital,Hospital outpatient,n/a,false,85+,Male,1142135.25,1124851.8,1291,137
2016,Outpatient Hospital,Hospital outpatient,n/a,false,<65,Female,26490544.779999927,26241521.69999993,8704,856
2016,Outpatient Hospital,Hospital outpatient,n/a,false,<65,Male,9658595.610000003,9468397.840000004,7478,646
2016,Outpatient Hospital,Hospital outpatient,n/a,true,65-74,Female,1502922.73,1487608.23,970,150
2016,Outpatient Hospital,Hospital outpatient,n/a,true,65-74,Male,1834381.6400000001,1817678.6199999999,1278,166
2016,Outpatient Hospital,Hospital outpatient,n/a,true,75-84,Female,660988.6,653723.3899999999,559,64
2016,Outpatient Hospital,Hospital outpatient,n/a,true,75-84,Male,468728.63999999984,462798.17999999993,484,63
2016,Outpatient Hospital,Hospital outpatient,n/a,true,85+,Female,390007.85,385512.49,401,39
2016,Outpatient Hospital,Hospital outpatient,n/a,true,85+,Male,294242.64,290170.55999999994,272,43
2016,Outpatient Hospital,Hospital outpatient,n/a,true,<65,Female,13701211.610000003,13654534.690000005,2697,297
2016,Outpatient Hospital,Hospital outpatient,n/a,true,<65,Male,2896442.0500000026,2850686.620000003,2606,246
2016,Professional,Home health,n/a,false,65-74,Female,43880.87,43880.87,5,5
2016,Professional,Home health,n/a,false,65-74,Male,66450.23,66450.23,10,8
2016,Professional,Home health,n/a,false,75-84,Female,30583.67,30583.67,3,3
2016,Professional,Home health,n/a,false,75-84,Male,23013.92,23013.92,2,2
2016,Professional,Home health,n/a,false,85+,Male,24820.92,24820.92,3,3
2016,Professional,Home health,n/a,true,65-74,Female,41528.399999999994,41528.399999999994,5,4
2016,Professional,Home health,n/a,true,65-74,Male,65553.84,65553.84,7,7
2016,Professional,Home health,n/a,true,75-84,Female,10433.25,10433.25,2,2
2016,Professional,Home health,n/a,true,75-84,Male,30283.66,30283.66,4,4
2016,Professional,Inpatient/outpatient hospital setting,E&M,false,65-74,Female,481.7,385.36,1,1
2016,Professional,Inpatient/outpatient hospital setting,E&M,false,65-74,Male,1638.2800000000002,1310.6200000000001,3,3
2016,Professional,Inpatient/outpatient hospital setting,E&M,false,75-84,Male,600.5,480.4,1,1
2016,Professional,Inpatient/outpatient hospital setting,E&M,false,<65,Male,507.0,405.6,1,1
2016,Professional,Inpatient/outpatient hospital setting,E&M,true,65-74,Male,620.44,620.44,1,1
2016,Professional,Inpatient/outpatient hospital setting,Exceptions/unclassified,false,65-74,Male,1423.99,1139.19,3,3
2016,Professional,Inpatient/outpatient hospital setting,Exceptions/unclassified,false,75-84,Female,615.85,492.68,1,1
2016,Professional,Inpatient/outpatient hospital setting,Exceptions/unclassified,false,<65,Male,584.0,467.2,1,1
2016,Professional,Inpatient/outpatient hospital setting,Exceptions/unclassified,true,65-74,Male,620.44,620.44,1,1
2016,Professional,Inpatient/outpatient hospital setting,Exceptions/unclassified,true,<65,Female,615.85,492.68,1,1
2016,Professional,Inpatient/outpatient hospital setting,Imaging,false,65-74,Male,2795.54,2236.4300000000003,5,5
2016,Professional,Inpatient/outpatient hospital setting,Imaging,false,<65,Female,2829.7,2263.76,5,5
2016,Professional,Inpatient/outpatient hospital setting,Imaging,false,<65,Male,1722.5800000000002,992.7,3,3
2016,Professional,Inpatient/outpatient hospital setting,Imaging,true,75-84,Female,808.7,729.22,2,2
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,false,65-74,Female,203435.94999999998,162748.76000000004,100,8
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,false,65-74,Male,399634.49000000005,319728.57000000007,305,18
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,false,75-84,Female,185231.78,148185.44999999995,62,4
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,false,75-84,Male,179373.32,143498.55,83,2
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,false,<65,Female,79190.64,62979.75,58,7
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,false,<65,Male,334908.58999999997,267300.8100000003,191,10
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,true,65-74,Female,96111.31,95796.31,60,3
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,true,65-74,Male,150724.33000000002,150374.33000000002,64,3
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,true,75-84,Female,22472.779999999988,21835.11999999999,34,2
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,true,75-84,Male,70848.40000000001,61729.799999999996,28,3
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,true,<65,Female,39800.62,31840.49,10,1
2016,Professional,Inpatient/outpatient hospital setting,Unclassified,true,<65,Male,57207.60999999999,56566.74,28,3
2016,Professional,Nursing facility / hospice setting,E&M,false,65-74,Female,2121.63,1697.3,1,1
2016,Professional,Nursing facility / hospice setting,E&M,false,65-74,Male,620.44,496.35,1,1
2016,Professional,Nursing facility / hospice setting,E&M,false,<65,Female,1240.88,992.7,2,2
2016,Professional,Nursing facility / hospice setting,E&M,false,<65,Male,1737.0300000000002,1389.62,3,3
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,false,65-74,Female,0.0,0.0,6,2
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,false,65-74,Male,2648.35,2118.68,15,5
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,false,75-84,Female,0.0,0.0,4,1
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,false,75-84,Male,0.0,0.0,13,5
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,false,85+,Female,0.0,0.0,3,1
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,false,<65,Female,0.0,0.0,13,6
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,false,<65,Male,0.0,0.0,15,7
2016,Professional,Nursing facility / hospice setting,Exceptions/unclassified,true,<65,Male,0.0,0.0,2,1
2016,Professional,Nursing facility / hospice setting,Unclassified,false,65-74,Female,14075.260000000002,11260.2,35,3
2016,Professional,Nursing facility / hospice setting,Unclassified,false,65-74,Male,18140.760000000006,14047.810000000001,58,5
2016,Professional,Nursing facility / hospice setting,Unclassified,false,75-84,Female,1346.77,892.24,13,1
2016,Professional,Nursing facility / hospice setting,Unclassified,false,75-84,Male,7817.800000000001,6137.889999999999,66,5
2016,Professional,Nursing facility / hospice setting,Unclassified,false,85+,Female,1319.48,1055.5900000000001,10,1
2016,Professional,Nursing facility / hospice setting,Unclassified,false,85+,Male,2221.3199999999997,1777.0500000000002,8,2
2016,Professional,Nursing facility / hospice setting,Unclassified,false,<65,Female,22065.170000000002,17297.539999999997,87,10
2016,Professional,Nursing facility / hospice setting,Unclassified,false,<65,Male,39752.78,30652.309999999998,172,13
2016,Professional,Nursing facility / hospice setting,Unclassified,true,85+,Female,1144.8,1144.8,4,1
2016,Professional,Nursing facility / hospice setting,Unclassified,true,<65,Male,828.65,476.52,15,1
2016,Professional,Office (incl. telehealth),E&M,false,65-74,Female,25698.11,20558.490000000005,32,32
2016,Professional,Office (incl. telehealth),E&M,false,65-74,Male,63037.75999999998,50749.06999999999,95,78
2016,Professional,Office (incl. telehealth),E&M,false,75-84,Female,8528.66,6822.93,12,9
2016,Professional,Office (incl. telehealth),E&M,false,75-84,Male,30818.660000000007,24774.990000000005,60,29
2016,Professional,Office (incl. telehealth),E&M,false,85+,Female,10851.730000000001,8681.38,18,12
2016,Professional,Office (incl. telehealth),E&M,false,85+,Male,13170.050000000001,10536.029999999999,26,17
2016,Professional,Office (incl. telehealth),E&M,false,<65,Female,113909.35999999999,89804.08,162,143
2016,Professional,Office (incl. telehealth),E&M,false,<65,Male,200195.33999999994,159882.31000000006,319,287
2016,Professional,Office (incl. telehealth),E&M,true,65-74,Female,10349.61,5790.729999999999,18,7
2016,Professional,Office (incl. telehealth),E&M,true,65-74,Male,16640.190000000002,14427.119999999999,27,22
2016,Professional,Office (incl. telehealth),E&M,true,75-84,Female,9636.670000000002,8851.150000000003,17,4
2016,Professional,Office (incl. telehealth),E&M,true,75-84,Male,5808.85,5298.469999999999,9,9
2016,Professional,Office (incl. telehealth),E&M,true,85+,Female,1864.19,1184.3500000000001,4,4
2016,Professional,Office (incl. telehealth),E&M,true,85+,Male,2398.45,1551.46,4,4
2016,Professional,Office (incl. telehealth),E&M,true,<65,Female,28546.01,24402.809999999998,48,46
2016,Professional,Office (incl. telehealth),E&M,true,<65,Male,72693.79999999999,54251.67000000001,118,96
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,65-74,Female,13309.28,10647.42,1803,576
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,65-74,Male,29502.75,23602.199999999997,2056,602
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,75-84,Female,8446.35,6757.09,673,188
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,75-84,Male,6490.74,5192.6,999,186
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,85+,Female,6320.7699999999995,5056.62,781,171
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,85+,Male,0.0,0.0,857,165
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,<65,Female,51957.37,41664.04,1848,718
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,false,<65,Male,60857.229999999996,48760.869999999995,2163,865
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,65-74,Female,6376.329999999999,5101.06,618,168
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,65-74,Male,8823.07,8158.6900000000005,618,186
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,75-84,Female,3998.74,3579.6400000000003,394,73
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,75-84,Male,2935.01,2348.01,349,74
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,85+,Female,4987.32,2373.38,277,56
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,85+,Male,11429.140000000001,11429.140000000001,262,45
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,<65,Female,19130.69,14629.28,662,254
2016,Professional,Office (incl. telehealth),Exceptions/unclassified,true,<65,Male,24177.660000000003,20165.91,689,263
2016,Professional,Office (incl. telehealth),Unclassified,false,65-74,Female,1085963.390000003,814235.8599999981,8497,606
2016,Professional,Office (incl. telehealth),Unclassified,false,65-74,Male,1297785.2400000026,1002184.2699999968,9902,632
2016,Professional,Office (incl. telehealth),Unclassified,false,75-84,Female,399680.5199999999,306144.43000000017,3046,200
2016,Professional,Office (incl. telehealth),Unclassified,false,75-84,Male,539992.7899999985,403217.5200000005,5028,198
2016,Professional,Office (incl. telehealth),Unclassified,false,85+,Female,462270.91999999946,358446.5800000008,3801,178
2016,Professional,Office (incl. telehealth),Unclassified,false,85+,Male,452632.1899999994,353541.5100000001,4143,176
2016,Professional,Office (incl. telehealth),Unclassified,false,<65,Female,2382662.740000002,1855725.2500000019,12168,977
2016,Professional,Office (incl. telehealth),Unclassified,false,<65,Male,2378408.13,1840425.0500000012,14142,1083
2016,Professional,Office (incl. telehealth),Unclassified,true,65-74,Female,346981.53999999986,268555.3399999997,2958,178
2016,Professional,Office (incl. telehealth),Unclassified,true,65-74,Male,393138.16999999987,333518.0699999997,3111,204
2016,Professional,Office (incl. telehealth),Unclassified,true,75-84,Female,214277.3399999997,182130.56999999966,1885,77
2016,Professional,Office (incl. telehealth),Unclassified,true,75-84,Male,204922.78000000003,168339.65000000005,1692,75
2016,Professional,Office (incl. telehealth),Unclassified,true,85+,Female,152628.44999999987,92112.7899999999,1228,59
2016,Professional,Office (incl. telehealth),Unclassified,true,85+,Male,178818.38,137879.43999999994,1154,50
2016,Professional,Office (incl. telehealth),Unclassified,true,<65,Female,734682.5300000013,574798.2799999998,4033,322
2016,Professional,Office (incl. telehealth),Unclassified,true,<65,Male,963706.0100000002,744925.1299999994,4872,352
2016,Professional,Services at home,E&M,false,65-74,Male,615.85,492.68,1,1
2016,Professional,Services at home,E&M,false,<65,Female,468.2,374.56,1,1
2016,Professional,Services at home,E&M,false,<65,Male,1881.9,1505.52,4,4
2016,Professional,Services at home,Exceptions/unclassified,false,65-74,Female,0.0,0.0,4,2
2016,Professional,Services at home,Exceptions/unclassified,false,65-74,Male,0.0,0.0,3,2
2016,Professional,Services at home,Exceptions/unclassified,false,75-84,Female,0.0,0.0,12,3
2016,Professional,Services at home,Exceptions/unclassified,false,75-84,Male,0.0,0.0,3,1
2016,Professional,Services at home,Exceptions/unclassified,false,85+,Female,0.0,0.0,6,2
2016,Professional,Services at home,Exceptions/unclassified,false,85+,Male,0.0,0.0,2,1
2016,Professional,Services at home,Exceptions/unclassified,false,<65,Female,481.7,385.36,8,4
2016,Professional,Services at home,Exceptions/unclassified,false,<65,Male,0.0,0.0,13,6
2016,Professional,Services at home,Exceptions/unclassified,true,65-74,Male,0.0,0.0,3,1
2016,Professional,Services at home,Exceptions/unclassified,true,<65,Male,0.0,0.0,4,2
2016,Professional,Services at home,Unclassified,false,65-74,Female,1659.01,1203.86,19,2
2016,Professional,Services at home,Unclassified,false,65-74,Male,2107.18,1454.9,27,2
2016,Professional,Services at home,Unclassified,false,75-84,Female,4268.87,3228.6900000000005,44,3
2016,Professional,Services at home,Unclassified,false,75-84,Male,1189.79,766.92,13,1
2016,Professional,Services at home,Unclassified,false,85+,Female,2447.3599999999997,1957.8599999999997,33,2
2016,Professional,Services at home,Unclassified,false,85+,Male,1482.17,1185.7200000000003,14,1
2016,Professional,Services at home,Unclassified,false,<65,Female,9462.76,6929.290000000001,77,8
2016,Professional,Services at home,Unclassified,false,<65,Male,9884.75,7349.999999999999,105,9
2016,Professional,Services at home,Unclassified,true,65-74,Male,1617.17,1617.17,11,1
2016,Professional,Services at home,Unclassified,true,<65,Female,925.5699999999999,740.4599999999999,9,1
2016,Professional,Services at home,Unclassified,true,<65,Male,2776.4900000000002,2776.4900000000002,29,2
2016,Professional,Urgent care,E&M,false,65-74,Female,4220.3,3376.24,7,2
2016,Professional,Urgent care,E&M,false,65-74,Male,9428.45,7542.759999999999,16,5
2016,Professional,Urgent care,E&M,false,75-84,Female,1847.5500000000002,1478.04,3,1
2016,Professional,Urgent care,E&M,false,75-84,Male,7099.500000000001,5919.8,12,4
2016,Professional,Urgent care,E&M,false,85+,Male,3636.6,2909.28,6,1
2016,Professional,Urgent care,E&M,false,<65,Female,3321.29,2657.0299999999997,2,2
2016,Professional,Urgent care,E&M,false,<65,Male,17399.000000000004,13919.200000000003,30,15
2016,Professional,Urgent care,E&M,true,65-74,Male,2146.4,1957.3200000000002,4,2
2016,Professional,Urgent care,E&M,true,85+,Female,2463.4,1970.72,4,1
2016,Professional,Urgent care,E&M,true,<65,Female,7794.299999999999,6235.45,7,4
2016,Professional,Urgent care,E&M,true,<65,Male,5682.0,5558.83,10,5
2016,Professional,Urgent care,Exceptions/unclassified,false,65-74,Female,0.0,0.0,255,37
2016,Professional,Urgent care,Exceptions/unclassified,false,65-74,Male,1744.75,1395.8,348,41
2016,Professional,Urgent care,Exceptions/unclassified,false,75-84,Female,0.0,0.0,218,15
2016,Professional,Urgent care,Exceptions/unclassified,false,75-84,Male,0.0,0.0,120,14
2016,Professional,Urgent care,Exceptions/unclassified,false,85+,Female,0.0,0.0,247,15
2016,Professional,Urgent care,Exceptions/unclassified,false,85+,Male,0.0,0.0,290,25
2016,Professional,Urgent care,Exceptions/unclassified,false,<65,Female,2770.43,2216.34,189,31
2016,Professional,Urgent care,Exceptions/unclassified,false,<65,Male,7992.0,6393.599999999999,260,45
2016,Professional,Urgent care,Exceptions/unclassified,true,65-74,Female,0.0,0.0,81,14
2016,Professional,Urgent care,Exceptions/unclassified,true,65-74,Male,0.0,0.0,106,15
2016,Professional,Urgent care,Exceptions/unclassified,true,75-84,Female,0.0,0.0,32,3
2016,Professional,Urgent care,Exceptions/unclassified,true,75-84,Male,0.0,0.0,118,9
2016,Professional,Urgent care,Exceptions/unclassified,true,85+,Female,0.0,0.0,102,7
2016,Professional,Urgent care,Exceptions/unclassified,true,85+,Male,639.91,639.91,90,7
2016,Professional,Urgent care,Exceptions/unclassified,true,<65,Female,0.0,0.0,35,9
2016,Professional,Urgent care,Exceptions/unclassified,true,<65,Male,0.0,0.0,52,13
2016,Professional,Urgent care,Unclassified,false,65-74,Female,157514.68000000046,126667.6399999999,1340,38
2016,Professional,Urgent care,Unclassified,false,65-74,Male,234025.8000000001,186771.42999999964,1830,45
2016,Professional,Urgent care,Unclassified,false,75-84,Female,145723.06999999977,107361.89999999979,1105,18
2016,Professional,Urgent care,Unclassified,false,75-84,Male,76418.05999999982,61403.36999999988,692,15
2016,Professional,Urgent care,Unclassified,false,85+,Female,158961.64999999985,126983.9099999999,1354,17
2016,Professional,Urgent care,Unclassified,false,85+,Male,215509.49000000008,172221.93,1552,26
2016,Professional,Urgent care,Unclassified,false,<65,Female,185595.51999999984,151311.53999999998,1157,35
2016,Professional,Urgent care,Unclassified,false,<65,Male,306535.66000000003,241549.49999999985,1695,59
2016,Professional,Urgent care,Unclassified,true,65-74,Female,51455.47999999998,37150.770000000004,446,19
2016,Professional,Urgent care,Unclassified,true,65-74,Male,79649.35999999988,63142.52999999994,577,23
2016,Professional,Urgent care,Unclassified,true,75-84,Female,27675.880000000005,15845.910000000013,138,4
2016,Professional,Urgent care,Unclassified,true,75-84,Male,90355.04999999999,42809.99000000005,661,12
2016,Professional,Urgent care,Unclassified,true,85+,Female,49175.69000000002,16637.100000000013,480,7
2016,Professional,Urgent care,Unclassified,true,85+,Male,70412.09999999983,35946.27000000005,477,7
2016,Professional,Urgent care,Unclassified,true,<65,Female,52405.969999999994,41582.090000000004,268,14
2016,Professional,Urgent care,Unclassified,true,<65,Male,44103.71999999998,37622.54000000004,342,18
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,65-74,Female,650968.4700000021,462633.31999999867,4922,389
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,65-74,Male,764456.0199999994,560581.2600000007,5725,407
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,75-84,Female,348712.8000000004,262993.0599999998,2221,117
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,75-84,Male,472424.9000000007,299212.0900000003,3168,141
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,85+,Female,667644.010000003,513880.8300000001,3595,127
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,85+,Male,918259.6900000044,714562.6599999967,3744,133
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,<65,Female,1189527.1900000044,858820.1400000011,5838,625
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,false,<65,Male,1267345.310000013,876471.639999997,6843,686
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,65-74,Female,290853.34000000055,202420.21000000046,1978,119
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,65-74,Male,343206.58,271023.1,2253,151
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,75-84,Female,153532.59999999998,126936.5800000003,1097,55
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,75-84,Male,243911.0599999997,178939.39999999994,1463,56
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,85+,Female,243967.49000000014,130169.12999999998,1045,44
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,85+,Male,336429.5600000001,102213.5,1216,41
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,<65,Female,417597.1800000003,261264.3900000003,2009,217
2016,Retail Pharmacy,Prescription drugs (Part D),n/a,true,<65,Male,508084.57000000065,361159.3200000006,2681,237
2017,Inpatient Hospital,Acute care hospital,n/a,false,65-74,Female,1111251.7500000002,929507.9399999997,168,99
2017,Inpatient Hospital,Acute care hospital,n/a,false,65-74,Male,1817222.6399999994,1515990.9800000004,203,129
2017,Inpatient Hospital,Acute care hospital,n/a,false,75-84,Female,644747.2999999999,536962.22,74,48
2017,Inpatient Hospital,Acute care hospital,n/a,false,75-84,Male,855264.0099999997,714822.2000000009,196,54
2017,Inpatient Hospital,Acute care hospital,n/a,false,85+,Female,459731.1,382824.7299999999,113,43
2017,Inpatient Hospital,Acute care hospital,n/a,false,85+,Male,270392.31999999995,225266.64,158,39
2017,Inpatient Hospital,Acute care hospital,n/a,false,<65,Female,2161145.2300000004,1867992.260000001,328,237
2017,Inpatient Hospital,Acute care hospital,n/a,false,<65,Male,1517792.0800000015,1314993.14,289,201
2017,Inpatient Hospital,Acute care hospital,n/a,true,65-74,Female,232843.07,216029.69999999995,68,37
2017,Inpatient Hospital,Acute care hospital,n/a,true,65-74,Male,751029.8199999998,665606.7599999998,95,59
2017,Inpatient Hospital,Acute care hospital,n/a,true,75-84,Female,271945.28,259607.3,37,23
2017,Inpatient Hospital,Acute care hospital,n/a,true,75-84,Male,215610.53,202871.92999999996,92,31
2017,Inpatient Hospital,Acute care hospital,n/a,true,85+,Female,15674.199999999999,14080.89,14,9
2017,Inpatient Hospital,Acute care hospital,n/a,true,85+,Male,105704.61,95967.02,24,15
2017,Inpatient Hospital,Acute care hospital,n/a,true,<65,Female,653757.8999999999,610089.4,115,92
2017,Inpatient Hospital,Acute care hospital,n/a,true,<65,Male,383704.9299999999,362848.38999999984,132,86
